rank,word,per_million,zipf,wordfreq_pm,opensubtitles_pm
135,los,890.39,5.95,182.0,1598.78
136,heute,887.6,5.95,759.0,1016.19
137,kommt,886.55,5.95,759.0,1014.1
138,vom,882.45,5.95,1260.0,504.91
139,nun,852.63,5.93,759.0,946.26
140,unter,848.1,5.93,1260.0,436.19
141,nie,846.78,5.93,468.0,1225.57
142,zwei,839.66,5.92,871.0,808.31
143,wäre,823.42,5.92,661.0,985.84
144,ab,823.08,5.92,955.0,691.16
145,waren,822.68,5.92,871.0,774.36
146,werde,816.28,5.91,398.0,1234.56
147,deine,814.05,5.91,363.0,1265.1
148,wissen,811.81,5.91,355.0,1268.62
149,weg,811.18,5.91,468.0,1154.37
150,macht,798.18,5.9,708.0,888.35
151,kommen,773.14,5.89,513.0,1033.28
152,wollen,759.43,5.88,513.0,1005.86
153,ohne,738.61,5.87,891.0,586.23
154,gegen,737.49,5.87,1070.0,404.98
155,lassen,720.55,5.86,575.0,866.11
156,komm,703.5,5.85,81.3,1325.71
157,frau,702.2,5.85,457.0,947.4
158,okay,694.89,5.84,93.3,1296.48
159,selbst,694.07,5.84,794.0,594.15
160,ob,665.7,5.82,692.0,639.4
161,seit,665.28,5.82,813.0,517.56
162,hätte,663.62,5.82,501.0,826.24
163,dein,657.87,5.82,288.0,1027.74
164,sicher,652.59,5.81,347.0,958.17
165,hey,652.32,5.81,85.1,1219.54
166,wollte,647.91,5.81,316.0,979.81
167,tut,646.87,5.81,155.0,1138.73
168,gerade,637.7,5.8,589.0,686.4
169,könnte,633.48,5.8,490.0,776.97
170,anderen,630.12,5.8,692.0,568.24
171,zurück,625.42,5.8,372.0,878.85
172,kannst,624.36,5.8,347.0,901.71
173,dieses,623.41,5.79,646.0,600.82
174,eines,616.48,5.79,813.0,419.96
175,sollte,613.22,5.79,575.0,651.43
176,beim,612.4,5.79,871.0,353.8
177,gesagt,611.97,5.79,269.0,954.94
178,genau,611.31,5.79,447.0,775.63
179,menschen,610.9,5.79,776.0,445.8
180,wohl,599.69,5.78,537.0,662.39
181,willst,593.39,5.77,138.0,1048.78
182,meinen,588.32,5.77,331.0,845.64
183,tag,586.32,5.77,490.0,682.63
184,leute,575.9,5.76,427.0,724.8
185,viele,570.51,5.76,676.0,465.01
186,diesem,567.67,5.75,646.0,489.33
187,dort,565.01,5.75,603.0,527.01
188,klar,556.2,5.75,363.0,749.4
189,weiter,543.34,5.74,562.0,524.69
190,unsere,538.07,5.73,427.0,649.14
191,weißt,534.23,5.73,67.6,1000.86
192,gemacht,534.17,5.73,447.0,621.34
193,besser,533.55,5.73,457.0,610.1
194,na,533.22,5.73,141.0,925.45
195,diesen,533.13,5.73,513.0,553.26
196,ihren,528.11,5.72,550.0,506.22
197,geld,517.67,5.71,389.0,646.33
198,schön,517.07,5.71,331.0,703.13
199,sei,515.6,5.71,501.0,530.19
200,jahre,515.32,5.71,661.0,369.63
201,keinen,512.2,5.71,389.0,635.4
202,gott,511.22,5.71,182.0,840.43
203,jahren,506.61,5.7,676.0,337.22
204,dabei,506.41,5.7,631.0,381.81
205,ins,504.91,5.7,479.0,530.82
206,morgen,503.77,5.7,269.0,738.55
207,erst,498.74,5.7,575.0,422.48
208,leid,497.33,5.7,67.6,927.07
209,andere,495.99,5.7,562.0,429.97
210,drei,492.63,5.69,525.0,460.26
211,paar,490.71,5.69,363.0,618.42
212,gar,489.03,5.69,437.0,541.06
213,dafür,487.69,5.69,479.0,496.37
214,jemand,481.93,5.68,316.0,647.85
215,hallo,481.22,5.68,115.0,847.44
216,natürlich,481.1,5.68,417.0,545.2
217,ihrer,480.34,5.68,575.0,385.68
218,gute,479.81,5.68,407.0,552.62
219,liebe,478.28,5.68,302.0,654.56
220,wegen,478.1,5.68,468.0,488.2
221,sagte,476.16,5.68,302.0,650.32
222,finden,475.81,5.68,398.0,553.62
223,seiner,474.71,5.68,676.0,273.41
224,glaube,471.67,5.67,245.0,698.33
225,gesehen,471.32,5.67,263.0,679.65
226,meiner,470.31,5.67,372.0,568.63
227,lange,467.63,5.67,389.0,546.27
228,jahr,461.66,5.66,692.0,231.32
229,recht,460.12,5.66,407.0,513.24
230,geben,459.13,5.66,398.0,520.26
231,gleich,451.84,5.65,389.0,514.68
232,sagt,451.6,5.65,389.0,514.21
233,wurden,450.1,5.65,646.0,254.2
234,welt,448.73,5.65,457.0,440.47
235,möchte,448.06,5.65,309.0,587.11
236,richtig,443.09,5.65,380.0,506.17
237,vater,440.41,5.64,162.0,718.81
238,davon,440.31,5.64,380.0,500.62
239,lass,440.25,5.64,100.0,780.51
240,steht,439.99,5.64,479.0,400.99
241,gehört,438.84,5.64,288.0,589.69
242,zwischen,437.95,5.64,676.0,199.9
243,sieht,436.38,5.64,372.0,500.76
244,seinen,428.32,5.63,525.0,331.64
245,dazu,421.77,5.63,513.0,330.54
246,neue,420.13,5.62,589.0,251.27
247,einmal,411.08,5.61,457.0,365.17
248,kinder,409.0,5.61,398.0,420.0
249,meinem,405.53,5.61,269.0,542.06
250,mutter,405.26,5.61,182.0,628.51
251,reden,405.15,5.61,138.0,672.3
252,zusammen,397.94,5.6,355.0,440.89
253,sollen,397.47,5.6,324.0,470.95
254,nacht,394.98,5.6,229.0,560.97
255,raus,390.65,5.59,155.0,626.29
256,konnte,389.28,5.59,437.0,341.57
257,ersten,386.23,5.59,575.0,197.46
258,uhr,386.0,5.59,468.0,303.99
259,passiert,385.58,5.59,158.0,613.17
260,arbeit,381.47,5.58,372.0,390.95
261,jeder,380.72,5.58,417.0,344.44
262,schnell,379.56,5.58,324.0,435.13
263,stadt,379.49,5.58,457.0,301.98
264,wieso,377.85,5.58,148.0,607.7
265,her,377.62,5.58,178.0,577.24
266,ende,376.43,5.58,468.0,284.87
267,sondern,375.86,5.58,589.0,162.73
268,hin,375.7,5.57,275.0,476.4
269,dachte,372.08,5.57,132.0,612.15
270,mach,370.65,5.57,126.0,615.3
271,musst,369.98,5.57,115.0,624.96
272,darf,369.47,5.57,316.0,422.93
273,sollten,368.36,5.57,257.0,479.73
274,haus,362.43,5.56,257.0,467.85
275,guten,361.47,5.56,269.0,453.95
276,unser,361.0,5.56,269.0,453.0
277,ganze,360.36,5.56,309.0,411.73
278,helfen,357.84,5.55,151.0,564.67
279,nehmen,351.19,5.55,282.0,420.37
280,heißt,345.39,5.54,302.0,388.78
281,eigentlich,344.06,5.54,380.0,308.12
282,frage,342.59,5.53,372.0,313.19
283,ach,341.59,5.53,141.0,542.18
284,hatten,340.21,5.53,331.0,349.41
285,fragen,339.82,5.53,295.0,384.64
286,abend,339.74,5.53,209.0,470.48
287,während,339.31,5.53,479.0,199.62
288,bleiben,338.61,5.53,234.0,443.21
289,kam,337.72,5.53,339.0,336.45
290,fall,335.14,5.53,347.0,323.27
291,ihrem,334.44,5.52,339.0,329.89
292,sonst,333.83,5.52,269.0,398.65
293,seinem,331.84,5.52,427.0,236.69
294,essen,329.78,5.52,214.0,445.56
295,gab,325.7,5.51,347.0,304.39
296,sag,323.61,5.51,72.4,574.82
297,denke,322.43,5.51,178.0,466.85
298,wirst,320.71,5.51,89.1,552.33
299,mädchen,320.56,5.51,162.0,479.12
300,fast,320.32,5.51,380.0,260.65
301,etwa,320.05,5.51,417.0,223.1
302,genug,317.6,5.5,224.0,411.2
303,familie,317.31,5.5,257.0,377.63
304,hause,314.79,5.5,148.0,481.58
305,hören,312.34,5.49,123.0,501.69
306,jeden,311.57,5.49,316.0,307.13
307,bringen,308.58,5.49,200.0,417.16
308,bereits,308.27,5.49,468.0,148.54
309,darauf,308.0,5.49,331.0,285.0
310,darüber,307.93,5.49,275.0,340.86
